Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-05-28,4453.6,4512.6,4363.5,4499.3,50.9,+1.14%,16427,25381
2026-05-27,4507.4,4528.1,4398.5,4448.4,-53.9,-1.20%,81062,31808
2026-05-26,4532,4583.3,4480,4502.3,-20.9,-0.46%,254516,61180
2026-05-22,4544.2,4547,4487.3,4523.2,-19.3,-0.42%,108508,121679
2026-05-21,4548,4572.4,4488.3,4542.5,7.2,+0.16%,153243,135311
2026-05-20,4486.6,4558.4,4455,4535.3,24.1,+0.53%,152270,166466
2026-05-19,4570.6,4593.2,4467.1,4511.2,-46.8,-1.03%,140957,185951
2026-05-18,4547.6,4588.6,4483.5,4558,-3.9,-0.09%,151971,192597
2026-05-15,4654.5,4670.1,4513.8,4561.9,-123.4,-2.63%,169760,201461
2026-05-14,4696.8,4725.8,4649.3,4685.3,-21.4,-0.45%,102965,210983
2026-05-13,4722.3,4734.8,4676,4706.7,20,+0.43%,120048,213102
2026-05-12,4745.3,4783.4,4645.2,4686.7,-42.,-0.89%,146315,219565
2026-05-11,4690,4758.4,4655.1,4728.7,-2.,-0.04%,147404,228067
2026-05-08,4682.5,4760.4,4671,4730.7,19.8,+0.42%,122010,232013
2026-05-07,4702.2,4775.2,4693.3,4710.9,16.6,+0.35%,159525,243426
2026-05-06,4569.3,4734.6,4556.1,4694.3,125.8,+2.75%,160439,253356
2026-05-05,4534,4597.5,4522.7,4568.5,35.2,+0.78%,88281,254335
2026-05-04,4644,4650.6,4510.1,4533.3,-111.2,-2.39%,117006,258138
2026-05-01,4636.9,4673,4570,4644.5,14.9,+0.32%,93230,259856
2026-04-30,4557,4658.8,4550.8,4629.6,68.1,+1.49%,119642,260064
2026-04-29,4611.4,4624.3,4522.2,4561.5,-46.9,-1.02%,126415,259659
2026-04-28,4697.5,4716.5,4567.6,4608.4,-85.3,-1.82%,144757,262216
2026-04-27,4713.1,4745.8,4681.2,4693.7,-47.2,-1.00%,85748,261440
2026-04-24,4715.6,4757.1,4672.2,4740.9,16.9,+0.36%,103218,262524
2026-04-23,4759.2,4771.3,4680.1,4724,-29.,-0.61%,153536,263642
2026-04-22,4738.7,4790.8,4733.1,4753,33.4,+0.71%,100063,264781
2026-04-21,4842.4,4854.8,4685.8,4719.6,-109.2,-2.26%,177092,265475
2026-04-20,4811.8,4847.9,4748,4828.8,-50.8,-1.04%,123214,268006
2026-04-17,4811.8,4917.7,4785.9,4879.6,71.3,+1.48%,135440,270163
2026-04-16,4813.6,4861.3,4792.1,4808.3,-15.3,-0.32%,108864,266068
2026-04-15,4862.7,4895.4,4807.9,4823.6,-26.5,-0.55%,106707,265975
2026-04-14,4769.3,4870.3,4767.6,4850.1,82.7,+1.73%,129586,266831
2026-04-13,4710,4774.4,4621,4767.4,-20.,-0.42%,127322,264025
2026-04-10,4790.5,4820,4752.7,4787.4,-30.6,-0.64%,121566,264357
2026-04-09,4744.8,4826,4718.6,4818,40.8,+0.85%,133629,266827
2026-04-08,4747.2,4888,4720.6,4777.2,92.5,+1.97%,215119,267199
2026-04-07,4678.6,4745.7,4631.9,4684.7,0,0.00%,145711,266079
2026-04-06,4675,4733.1,4626.2,4684.7,5,+0.11%,89405,265946
2026-04-02,4783,4825.9,4580.4,4679.7,-133.4,-2.77%,190440,263825
2026-04-01,4698.4,4821,4690,4813.1,134.5,+2.87%,166758,265936
2026-03-31,4538.9,4717.6,4510,4678.6,121.1,+2.66%,176389,268353
2026-03-30,4520,4611.4,4444.7,4557.5,33.2,+0.73%,157752,264815
2026-03-27,4403.9,4585.3,4400.6,4524.3,115.3,+2.62%,208914,260932
2026-03-26,4541.5,4574,4380.4,4409,-176.5,-3.85%,135143,242136
2026-03-25,4506.1,4634,4491.7,4585.5,151.4,+3.41%,99630,218891
2026-03-24,4449.9,4517.4,4337.7,4434.1,-5.4,-0.12%,69805,199703
2026-03-23,4495,4569.8,4128.5,4439.5,-170.1,-3.69%,125529,186497
2026-03-20,4689.4,4773.3,4512.1,4609.6,-30.9,-0.67%,48015,171199
2026-03-19,4860.5,4903.3,4539.5,4640.5,-292.4,-5.93%,66187,166466
2026-03-18,5046.6,5058.4,4846.6,4932.9,-112.7,-2.23%,47588,158426
2026-03-17,5049.1,5085,5014.4,5045.6,6.2,+0.12%,20542,149997
2026-03-16,5049.3,5082,5009.5,5039.4,-59.5,-1.17%,32008,146461
2026-03-13,5119.2,5169.6,5051.1,5098.9,-64.9,-1.26%,24451,142148
2026-03-12,5227.6,5236.6,5096.5,5163.8,-54.3,-1.04%,36681,140488
2026-03-11,5234.4,5269.5,5195.2,5218.1,-63.4,-1.20%,44967,129571
2026-03-10,5192.8,5288,5167.2,5281.5,138.8,+2.70%,45729,114938
2026-03-09,5236,5244.3,5060,5142.7,-55.2,-1.06%,40336,99627
2026-03-06,5150,5222.8,5110.6,5197.9,80.9,+1.58%,37268,85205
2026-03-05,5199,5241.5,5097.9,5117,-56.3,-1.09%,21528,79597
2026-03-04,5158.2,5256.9,5148.5,5173.3,11.1,+0.22%,14127,74781
2026-03-03,5388,5434,5043.1,5162.2,-189.5,-3.54%,25310,70935
2026-03-02,5385.2,5474.4,5313.6,5351.7,64.1,+1.21%,16861,68967
2026-02-27,5245.2,5338.8,5224.9,5287.6,53.9,+1.03%,11639,66911
2026-02-26,5215,5261.3,5184.8,5233.7,-32.4,-0.62%,12031,64644
2026-02-25,5186.7,5276.6,5175.2,5266.1,50.3,+0.96%,7290,61780
2026-02-24,5286.2,5307,5149.3,5215.8,-49.7,-0.94%,11878,61573
2026-02-23,5171.8,5296.3,5167,5265.5,145.9,+2.85%,8852,58076
2026-02-20,5055.4,5168.8,5037.8,5119.6,84.5,+1.68%,9489,57015
2026-02-19,5016,5080.3,5009.2,5035.1,-11.8,-0.23%,7422,55454
2026-02-18,4910,5069,4909.9,5046.9,104.4,+2.11%,7542,55315
2026-02-17,5107.1,5107.1,4893.2,4942.5,-141.4,-2.78%,12078,54981
2026-02-13,4947.4,5105.1,4947.4,5083.9,97.8,+1.96%,9838,55144
2026-02-12,5154.8,5161.6,4937,4986.1,-151.1,-2.94%,14139,55165
2026-02-11,5086.4,5182.3,5075.9,5137.2,68.2,+1.35%,15419,54133
2026-02-10,5128.1,5139.6,5059.6,5069,-48.8,-0.95%,10489,54834
2026-02-09,5040.3,5149.4,5027.4,5117.8,100.8,+2.01%,15872,54954
2026-02-06,4841.5,5031.6,4705.9,5017,92,+1.87%,17814,55822
2026-02-05,5033.9,5082.2,4814.3,4925,-62.6,-1.26%,20655,56369
2026-02-04,5020,5150.5,4904.5,4987.6,16.2,+0.33%,21350,56680
