Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-07-01,4025,4032,3983,3990.2,-48.3,-1.20%,17676,0
2026-06-30,4032.5,4078.1,3955.4,4038.5,-0.4,-0.01%,123239,276056
2026-06-29,4101.1,4102.9,4012,4038.9,-57.4,-1.40%,107421,274589
2026-06-26,4044.4,4111.5,3998.1,4096.3,48.7,+1.20%,118966,272593
2026-06-25,4019,4060,3976.3,4047.6,38.8,+0.97%,147347,271983
2026-06-24,4130,4132.4,3975.7,4008.8,-140.6,-3.39%,189386,273569
2026-06-23,4210.8,4216,4108.2,4149.4,-53.3,-1.27%,118495,270241
2026-06-22,4231.2,4238.2,4138.7,4202.7,-43.2,-1.02%,177657,269074
2026-06-18,4275.1,4350.2,4220.3,4245.9,-135.5,-3.09%,139534,265519
2026-06-17,4352.6,4403.6,4237.4,4381.4,27,+0.62%,160543,259941
2026-06-16,4331.3,4376.5,4326.7,4354.4,2.8,+0.06%,89925,263685
2026-06-15,4289.4,4391.5,4283.4,4351.6,112.8,+2.66%,132136,263715
2026-06-12,4234.9,4267.8,4191.1,4238.8,124.8,+3.03%,136146,264750
2026-06-11,4094.4,4241.3,4046.2,4114,-19.3,-0.47%,206270,264298
2026-06-10,4276.1,4281.1,4090.1,4133.3,-153.1,-3.57%,206026,265245
2026-06-09,4354.7,4388.6,4259.9,4286.4,-77.,-1.76%,138100,263071
2026-06-08,4354,4377.5,4293,4363.4,-1.9,-0.04%,144089,262389
2026-06-05,4503,4508.7,4336.6,4365.3,-139.7,-3.10%,179306,265154
2026-06-04,4462.6,4543.2,4450.1,4505,38.1,+0.85%,109643,263912
2026-06-03,4520,4525.1,4454,4466.9,-53.,-1.17%,106691,262500
2026-06-02,4515.8,4571.3,4492.3,4519.9,13.6,+0.30%,100306,262894
2026-06-01,4575.2,4577.3,4476,4506.3,-86.7,-1.89%,116787,262673
2026-05-29,4527.6,4627.1,4519.5,4593,60.6,+1.34%,133439,262800
2026-05-28,4488,4547.1,4395.6,4532.4,50.9,+1.14%,153472,261368
2026-05-27,4540.5,4561.2,4431,4481.5,-53.5,-1.18%,205283,254251
2026-05-26,4566,4615.8,4512.8,4535,-21.4,-0.47%,139537,233060
2026-05-22,4580.2,4581,4521.8,4556.4,-20.2,-0.44%,44282,188659
2026-05-21,4579.9,4605.5,4522.4,4576.6,7.5,+0.16%,65098,179728
2026-05-20,4519.2,4591.2,4488,4569.1,24.6,+0.54%,44756,152567
2026-05-19,4608,4626.3,4500.3,4544.5,-47.3,-1.03%,22841,138589
2026-05-18,4580,4622.5,4517.3,4591.8,-3.7,-0.08%,27159,134112
2026-05-15,4686.3,4703.5,4547.9,4595.5,-124.4,-2.64%,19838,127451
2026-05-14,4730.3,4759.7,4684.1,4719.9,-21.8,-0.46%,14271,124501
2026-05-13,4759,4769.4,4711.1,4741.7,19.8,+0.42%,32366,121436
2026-05-12,4783.9,4819.1,4680.8,4721.9,-42.5,-0.89%,36913,112001
2026-05-11,4741.3,4793.7,4691.6,4764.4,-2.2,-0.05%,29435,103150
2026-05-08,4708,4796,4708,4766.6,19.7,+0.42%,26849,96877
2026-05-07,4739,4810.6,4729.9,4746.9,17,+0.36%,40711,89762
2026-05-06,4602.3,4769.6,4590.9,4729.9,126.8,+2.75%,17858,78300
2026-05-05,4567,4631.9,4557.8,4603.1,35,+0.77%,11129,74761
2026-05-04,4672.5,4682.2,4545.3,4568.1,-111.8,-2.39%,9848,73317
2026-05-01,4681.3,4707.7,4605.5,4679.9,15.4,+0.33%,9421,71415
2026-04-30,4591.4,4693.5,4586.5,4664.5,68.9,+1.50%,9720,71500
2026-04-29,4646.9,4658.9,4556.3,4595.6,-47.3,-1.02%,8419,69750
2026-04-28,4731,4751.5,4602.5,4642.9,-85.9,-1.82%,9304,69121
2026-04-27,4760.3,4780.2,4716.7,4728.8,-47.5,-0.99%,6674,67890
2026-04-24,4753.7,4792.1,4708.4,4776.3,16.5,+0.35%,8639,66442
2026-04-23,4796.9,4806.2,4716.3,4759.8,-29.2,-0.61%,9350,64542
2026-04-22,4777.6,4826.5,4769.5,4789,33.6,+0.71%,4221,64533
2026-04-21,4883.6,4890.7,4721.6,4755.4,-110.,-2.26%,8153,64477
2026-04-20,4844,4883.7,4793,4865.4,-51.1,-1.04%,7136,63281
2026-04-17,4849.9,4953.8,4822.9,4916.5,71.2,+1.47%,7728,62319
2026-04-16,4854.2,4898.4,4829.7,4845.3,-15.5,-0.32%,6054,61619
2026-04-15,4900.4,4932.4,4846.2,4860.8,-27.,-0.55%,5937,61217
2026-04-14,4807.3,4907.7,4807.3,4887.8,83.4,+1.74%,11028,60925
2026-04-13,4745,4810.9,4678,4804.4,-20.2,-0.42%,9834,60511
2026-04-10,4833.9,4856.5,4789.6,4824.6,-30.9,-0.64%,9572,59934
2026-04-09,4782.5,4863.2,4756.8,4855.5,41.4,+0.86%,9551,59871
2026-04-08,4785.1,4922.5,4758.4,4814.1,93.6,+1.98%,13367,59704
2026-04-07,4727,4779.9,4668,4720.5,0,0.00%,5854,59225
2026-04-06,4710,4768.6,4662.5,4720.5,4.9,+0.10%,4316,58958
2026-04-02,4820.8,4861.7,4616.5,4715.6,-134.2,-2.77%,10187,58772
2026-04-01,4740.4,4857.4,4725.6,4849.8,136.2,+2.89%,8183,58826
2026-03-31,4575.4,4752.2,4544.9,4713.6,121.9,+2.65%,8211,57680
2026-03-30,4546.2,4645.6,4479,4591.7,33.1,+0.73%,5798,56585
2026-03-27,4457.9,4620,4436.4,4558.6,116,+2.61%,9567,56772
2026-03-26,4573.6,4604,4416.6,4442.6,-177.3,-3.84%,7696,56445
2026-03-25,4541,4667.2,4531.5,4619.9,152,+3.40%,6045,56343
2026-03-24,4444,4549,4374,4467.9,-5.8,-0.13%,6027,55577
2026-03-23,4544.6,4600.4,4162,4473.7,-172.2,-3.71%,14857,54545
2026-03-20,4735.6,4807,4550,4645.9,-30.3,-0.65%,6090,53930
2026-03-19,4894.7,4940,4578,4676.2,-294.5,-5.92%,15995,53697
2026-03-18,5080.3,5095,4886,4970.7,-113.1,-2.22%,7492,51741
2026-03-17,5093.2,5122,5052.9,5083.8,6.2,+0.12%,5353,50519
2026-03-16,5099.5,5118,5051,5077.6,-59.7,-1.16%,5909,50356
2026-03-13,5160.4,5207,5092,5137.3,-65.5,-1.26%,5512,50421
2026-03-12,5237.2,5276.3,5138.4,5202.8,-55.,-1.05%,6066,50585
2026-03-11,5295,5308.9,5236,5257.8,-63.4,-1.19%,5134,49366
2026-03-10,5236.1,5326,5206,5321.2,139.6,+2.69%,4081,48445
2026-03-09,5284,5284,5114.6,5181.6,-55.5,-1.06%,3563,47642
2026-03-06,5179.3,5260,5156.2,5237.1,81.4,+1.58%,8738,47477
2026-03-05,5252.1,5280,5138,5155.7,-56.5,-1.08%,3898,46313
2026-03-04,5193,5294,5174.8,5212.2,11.2,+0.22%,2880,45652
2026-03-03,5425.4,5467,5085.5,5201,-190.8,-3.54%,7054,45583
2026-03-02,5460,5514,5361.7,5391.8,64.7,+1.21%,4123,44739
2026-02-27,5282,5377,5263,5327.1,54.3,+1.03%,3110,44065
2026-02-26,5263.7,5298,5224,5272.8,-32.6,-0.61%,1765,43586
2026-02-25,5250.7,5316.1,5245,5305.4,50.8,+0.97%,2583,43165
2026-02-24,5338.3,5338.6,5188,5254.6,-49.9,-0.94%,2760,43539
2026-02-23,5221,5334,5221,5304.5,146.8,+2.85%,1690,43408
2026-02-20,5092.9,5205,5082,5157.7,85.7,+1.69%,1650,43353
2026-02-19,5066.7,5115.1,5057.9,5072,-11.7,-0.23%,1512,43145
2026-02-18,4987.1,5104,4987.1,5083.7,105,+2.11%,4336,43028
2026-02-17,5108.2,5122,4929.8,4978.7,-142.6,-2.78%,2809,42568
2026-02-13,4991.7,5143.7,4991.7,5121.3,97.5,+1.94%,6032,42449
2026-02-12,5155.2,5183.2,4977,5023.8,-151.9,-2.93%,6709,41808
2026-02-11,5130.5,5219,5120,5175.7,68.8,+1.35%,9114,40243
2026-02-10,5135.9,5177,5097,5106.9,-49.2,-0.95%,5009,39203
2026-02-09,5084.7,5185.9,5068.4,5156.1,101.8,+2.01%,8069,38181
2026-02-06,4870.1,5066.6,4773,5054.3,94.1,+1.90%,5258,37148
2026-02-05,5081.5,5106,4850,4960.2,-64.1,-1.28%,3794,36059
2026-02-04,5043.2,5185,4942,5024.3,16.6,+0.33%,4977,35978
2026-02-03,4790.6,5092.7,4790.6,5007.7,287.4,+6.09%,4570,35816
2026-02-02,4862.6,4930,4504.5,4720.3,-96.3,-2.00%,9518,35933
2026-01-30,5522,5561,4795.1,4816.6,-619.9,-11.40%,12709,35897
2026-01-29,5555,5706,5220,5436.5,15.5,+0.29%,8904,34820
2026-01-28,5295.4,5530.4,5275.4,5421,223.5,+4.30%,5665,34276
2026-01-27,5135.2,5288.9,5132,5197.5,-4.3,-0.08%,4472,34354
2026-01-26,5113.2,5220,5104.8,5201.8,108.9,+2.14%,4635,34047
2026-01-23,5064.5,5102.4,5014.8,5092.9,71,+1.41%,2341,33328
2026-01-22,4922.2,5050.8,4882.8,5021.9,77.9,+1.58%,3014,33046
2026-01-21,4872.3,4994.4,4864.8,4944,73.7,+1.51%,2898,32329
2026-01-20,4755.8,4874.9,4755.8,4870.3,172.8,+3.68%,3038,32638
2026-01-16,4716,4725.6,4642.8,4697.5,-28.3,-0.60%,1585,32202
2026-01-15,4729,4730.4,4686.7,4725.8,-12.2,-0.26%,1985,32107
2026-01-14,4715.6,4750.9,4709.4,4738,37.2,+0.79%,5881,31999
2026-01-13,4690,4743.6,4678.8,4700.8,-15.9,-0.34%,2894,31154
2026-01-12,4627.8,4741.2,4627.2,4716.7,115.6,+2.51%,3004,30379
2026-01-09,4586.6,4626.9,4568,4601.1,41.1,+0.90%,3399,29770
2026-01-08,4570,4586.4,4515.6,4560,-1.1,-0.02%,1825,29503
2026-01-07,4603.2,4603.2,4532.4,4561.1,-34.4,-0.75%,1551,29545
2026-01-06,4550.5,4604.4,4544.3,4595.5,45.8,+1.01%,1396,29296
2026-01-05,4474,4563.6,4474,4549.7,122.3,+2.76%,2160,29229
2026-01-02,4440.5,4512,4419.6,4427.4,-13.,-0.29%,1609,29088
2025-12-31,4447.8,4477.2,4383.6,4440.4,-44.3,-0.99%,3819,28915
2025-12-30,4448.8,4515.6,4448.4,4484.7,45.1,+1.02%,5302,26610
2025-12-29,4667.1,4672.7,4411.4,4439.6,-212.,-4.56%,2205,24480
2025-12-26,4630,4680,4621.2,4651.6,51.3,+1.12%,1899,24357
2025-12-24,4628.9,4650,4573.2,4600.3,-2.9,-0.06%,979,24059
2025-12-23,4579.7,4626,4557.6,4603.2,36.9,+0.81%,959,24085
2025-12-22,4481.9,4580,4481.9,4566.3,84,+1.87%,1344,24179
2025-12-19,4461.7,4482.3,4432.8,4482.3,23.6,+0.53%,994,24035
2025-12-18,4460,4502.8,4431.6,4458.7,-9.9,-0.22%,871,23935
2025-12-17,4443,4476.8,4432.8,4468.6,41.4,+0.94%,2066,23940
2025-12-16,4430.2,4460.4,4394,4427.2,-3.4,-0.08%,903,23801
2025-12-15,4448.2,4477.2,4413.6,4430.6,7.3,+0.17%,1346,23763
2025-12-12,4395,4481.6,4383.6,4423.3,16.2,+0.37%,1247,23398
2025-12-11,4337.3,4408.8,4327.2,4407.1,88.9,+2.06%,2642,23175
2025-12-10,4340,4360,4304.4,4318.2,-12.2,-0.28%,5358,22234
2025-12-09,4296,4344.7,4292.4,4330.4,20,+0.46%,3924,20942
2025-12-08,4332,4338,4298.4,4310.4,-24.7,-0.57%,3104,19611
2025-12-05,4323.7,4380,4316.4,4335.1,1.1,+0.03%,5244,18764
2025-12-04,4317.6,4339.2,4297.2,4334,9,+0.21%,4090,17299
2025-12-03,4322.7,4364.4,4319.9,4325,11.8,+0.27%,1631,16278
2025-12-02,4329.6,4352.4,4288.8,4313.2,-53.9,-1.23%,1940,16353
2025-12-01,4350,4388.4,4341.6,4367.1,22.6,+0.52%,1304,15906
"Downloaded from Barchart.com as of 06-30-2026 10:54pm CDT"
