Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-11,2.4,2.4,2.4,2.4,0.4,+20.00%,2,0
2026-06-10,2.2,2.4,1.9,2,-0.3,-13.04%,19,3504
2026-06-09,2.3,2.3,2.3,2.3,0,0.00%,18,3501
2026-06-08,2.5,2.5,2.3,2.3,-0.3,-11.54%,12,3501
2026-06-05,2.5,2.6,2.5,2.6,-0.5,-16.13%,16,3489
2026-06-04,3.1,3.1,3.1,3.1,-0.1,-3.13%,30,3503
2026-06-03,3.3,3.3,3.1,3.2,-0.5,-13.51%,721,3517
2026-06-02,3.6,3.7,3.6,3.7,-0.3,-7.50%,3,3850
2026-06-01,5,5.3,4,4,-1.1,-21.57%,60,3850
2026-05-29,5.1,5.1,5.1,5.1,1.1,+27.50%,20,3816
2026-05-28,3.1,4.3,3,4,1.3,+48.15%,2467,3822
2026-05-27,3.5,3.5,2.7,2.7,-1.1,-28.95%,2,2104
2026-05-26,5.2,5.2,3.8,3.8,-0.7,-15.56%,306,2104
2026-05-22,4.9,4.9,4.5,4.5,-0.6,-11.76%,41,1804
2026-05-21,5.1,5.1,5.1,5.1,-0.6,-10.53%,6,1781
2026-05-20,5,5.7,5,5.7,-0.4,-6.56%,6,1781
2026-05-19,7,7,6.1,6.1,-1.,-14.08%,19,1785
2026-05-18,7.4,7.6,7.1,7.1,-0.4,-5.33%,171,1785
2026-05-15,9,9,7.1,7.5,-2.9,-27.88%,157,1815
2026-05-14,12.5,12.5,10.4,10.4,-2.1,-16.80%,1,1835
2026-05-13,12.5,12.5,12.5,12.5,0.1,+0.81%,0,1835
2026-05-12,12.4,12.4,12.4,12.4,-1.6,-11.43%,3,1835
2026-05-11,12.9,14,12.9,14,0.7,+5.26%,116,1918
2026-05-08,13.1,13.5,13.1,13.3,-0.7,-5.00%,27,1842
2026-05-07,15.9,17.8,14,14,1.7,+13.82%,210,1860
2026-05-06,12.3,12.3,12.3,12.3,2,+19.42%,0,1724
2026-05-05,10.3,10.3,10.3,10.3,-0.1,-0.96%,15,1724
2026-05-04,10.4,10.4,10.4,10.4,-2.1,-16.80%,0,1723
2026-05-01,11.5,12.5,11.4,12.5,0.8,+6.84%,116,1723
2026-04-30,11.7,11.7,11.7,11.7,1.8,+18.18%,100,1680
2026-04-29,9.8,9.9,9.8,9.9,-0.1,-1.00%,83,1680
2026-04-28,9.9,10,9.9,10,-2.4,-19.35%,4,1680
2026-04-27,12.6,12.6,12.4,12.4,-2.9,-18.95%,1,1681
2026-04-24,15.3,15.3,15.3,15.3,-0.9,-5.56%,0,1681
2026-04-23,16.2,16.2,16.2,16.2,-1.9,-10.50%,4,1681
2026-04-22,19,19,18.1,18.1,-1.4,-7.18%,4,1681
2026-04-21,19.5,19.5,19.5,19.5,-5.1,-20.73%,150,1679
2026-04-20,24.6,24.6,24.6,24.6,-5.9,-19.34%,2,1733
2026-04-17,30.3,30.5,30.3,30.5,3.8,+14.23%,85,1731
2026-04-16,31.7,31.7,26.7,26.7,-4.2,-13.59%,104,1708
2026-04-15,33,33,30.9,30.9,-3.6,-10.43%,15,1662
2026-04-14,29.2,34.5,26.7,34.5,6.2,+21.91%,57,1647
2026-04-13,28.3,28.3,28.3,28.3,-2.3,-7.52%,51,1598
2026-04-10,30.6,30.6,30.6,30.6,-5.7,-15.70%,22,1548
2026-04-09,36,36.3,35.5,36.3,-3.4,-8.56%,547,1539
2026-04-08,54,54,39.7,39.7,1.6,+4.20%,265,1383
2026-04-07,43.5,43.5,38.1,38.1,-3.5,-8.41%,54,1210
2026-04-06,45.2,45.2,41.6,41.6,-3.7,-8.17%,200,1208
2026-04-02,41.2,45.3,41.2,45.3,-9.2,-16.88%,3,1099
2026-04-01,53.8,54.5,52,54.5,6,+12.37%,16,1099
