Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-09,68.565,68.905,67.99,68.625,-0.228,-0.33%,26,0
2026-06-08,67.87,69.33,66.86,68.853,-0.52,-0.75%,692,723
2026-06-05,73.4,73.82,68,69.373,-4.887,-6.58%,708,741
2026-06-04,73,75.44,72.975,74.26,0.276,+0.37%,471,831
2026-06-03,75.565,75.565,73.265,73.984,-1.869,-2.46%,325,784
2026-06-02,75.415,77.315,75.415,75.853,0.304,+0.40%,275,778
2026-06-01,75.47,76.42,74.765,75.549,-0.624,-0.82%,424,735
2026-05-29,76.28,77.175,75.7,76.173,-0.032,-0.04%,339,685
2026-05-28,74.21,76.225,72.76,76.205,1.015,+1.35%,423,692
2026-05-27,77.67,77.86,74.265,75.19,-1.718,-2.23%,461,634
2026-05-26,78.81,79.085,76.61,76.908,0.409,+0.53%,514,598
2026-05-22,77.18,77.18,76.45,76.499,-0.535,-0.69%,347,490
2026-05-21,76.91,77.73,75.505,77.034,0.56,+0.73%,375,442
2026-05-20,74.3,76.595,74.205,76.474,1.034,+1.37%,99,362
2026-05-19,74.5,78,74,75.44,-2.303,-2.96%,265,381
2026-05-18,76.075,77.743,75.53,77.743,-0.099,-0.13%,76,355
2026-05-15,81.845,81.845,76.67,77.842,-7.809,-9.12%,183,339
2026-05-14,88.54,88.755,84.105,85.651,-4.064,-4.53%,85,324
2026-05-13,88.17,90.32,87.62,89.715,3.798,+4.42%,261,329
2026-05-12,87.385,88.035,84.19,85.917,-0.358,-0.41%,274,310
2026-05-11,80.08,87.25,80.08,86.275,5.105,+6.29%,383,271
2026-05-08,79.305,82.29,79.305,81.17,0.683,+0.85%,222,296
2026-05-07,78.75,81.55,78.515,80.487,2.889,+3.72%,441,308
2026-05-06,74.8,78.49,74.8,77.598,3.745,+5.07%,396,242
2026-05-05,73.895,74.49,73.853,73.853,0.061,+0.08%,161,259
2026-05-04,76.37,76.37,73.365,73.792,-2.92,-3.81%,334,233
2026-05-01,74.9,76.99,74.31,76.712,2.408,+3.24%,123,198
2026-04-30,72.465,74.505,72.465,74.304,1.948,+2.69%,81,192
2026-04-29,73.32,73.415,72.2,72.356,-1.663,-2.25%,38,180
2026-04-28,74.019,74.019,74.019,74.019,-1.838,-2.42%,30,167
2026-04-27,75.857,75.857,75.857,75.857,-1.373,-1.78%,35,173
2026-04-24,76.39,77.23,76.03,77.23,0.875,+1.15%,30,168
2026-04-23,76.255,76.355,75.725,76.355,-2.472,-3.14%,55,170
2026-04-22,77.77,79,77.77,78.827,1.494,+1.93%,40,151
2026-04-21,77.64,77.64,76.485,77.333,-3.599,-4.45%,39,149
2026-04-20,80.055,81.605,80.055,80.932,-1.827,-2.21%,95,159
2026-04-17,79.5,84.03,79.5,82.759,3.17,+3.98%,244,161
2026-04-16,81.42,81.92,79.4,79.589,-0.927,-1.15%,165,144
2026-04-15,81.095,81.87,79.975,80.516,0.098,+0.12%,122,140
2026-04-14,76.845,80.675,76.845,80.418,3.895,+5.09%,356,138
2026-04-13,74.215,76.523,74.215,76.523,-0.835,-1.08%,22,124
2026-04-10,77.75,77.75,76.925,77.358,0.031,+0.04%,18,121
2026-04-09,75.735,77.535,75.735,77.327,1.066,+1.40%,22,121
2026-04-08,75.695,78.65,74.5,76.261,3.453,+4.74%,88,120
2026-04-07,72.808,72.808,72.808,72.808,-0.871,-1.18%,6,112
2026-04-06,72.74,73.679,72.74,73.679,-0.094,-0.13%,5,112
2026-04-02,72.9,73.773,70.9,73.773,-3.196,-4.15%,62,111
2026-04-01,76.44,77.07,75.4,76.969,1.208,+1.59%,64,107
2026-03-31,70.905,76.39,70.905,75.761,4.396,+6.16%,68,104
2026-03-30,69.615,71.81,68.855,71.365,0.775,+1.10%,17,98
2026-03-27,69.245,72.15,68.8,70.59,1.893,+2.76%,47,99
2026-03-26,68.95,70.435,67.95,68.697,-4.755,-6.47%,28,94
2026-03-25,72.665,75.445,72.665,73.452,3.111,+4.42%,63,91
2026-03-24,70.215,71.465,68.51,70.341,0.225,+0.32%,21,89
2026-03-23,67.795,70.116,64.455,70.116,-0.338,-0.48%,35,96
