Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-08,0.776,1,0.776,0.943,-0.039,-3.97%,91,337
2026-06-05,1.634,1.634,0.82,0.982,-0.841,-46.13%,184,361
2026-06-04,1.78,2.02,1.78,1.823,-0.065,-3.44%,150,277
2026-06-03,2.14,2.14,1.88,1.888,-0.675,-26.34%,190,367
2026-06-02,2.6,2.795,2.563,2.563,0.042,+1.67%,179,244
2026-06-01,2.521,2.521,2.521,2.521,-0.352,-12.25%,0,141
2026-05-29,3.078,3.078,2.834,2.873,-0.111,-3.72%,9,141
2026-05-28,2.984,2.984,2.984,2.984,0.252,+9.22%,102,139
2026-05-27,2.789,2.789,2.732,2.732,-0.728,-21.04%,10,110
2026-05-26,3.625,3.625,3.437,3.46,-0.094,-2.64%,25,108
2026-05-22,3.554,3.554,3.554,3.554,-0.469,-11.66%,0,99
2026-05-21,4.023,4.023,4.023,4.023,0.259,+6.88%,71,99
2026-05-20,3.764,3.764,3.764,3.764,0.066,+1.78%,0,71
2026-05-19,3.698,3.698,3.698,3.698,-1.084,-22.67%,1,71
2026-05-18,4.549,4.782,4.549,4.782,-0.108,-2.21%,50,70
2026-05-15,5.431,5.431,4.89,4.89,-3.872,-44.19%,10,26
2026-05-14,8.762,8.762,8.762,8.762,-3.166,-26.54%,0,26
2026-05-13,11.2,11.928,11.2,11.928,2.699,+29.24%,2,26
2026-05-12,9.231,9.231,9.229,9.229,-0.554,-5.66%,7,27
2026-05-11,9.783,9.783,9.783,9.783,3.375,+52.67%,0,32
2026-05-08,6.624,6.624,6.408,6.408,0.231,+3.74%,1,32
2026-05-07,6.2,6.2,6.177,6.177,1.551,+33.53%,17,31
2026-05-06,4.9,4.9,4.626,4.626,1.32,+39.93%,4,17
2026-05-05,3.306,3.306,3.306,3.306,-0.07,-2.07%,3,16
2026-05-04,3.376,3.376,3.376,3.376,-0.857,-20.25%,0,14
2026-05-01,4.233,4.233,4.233,4.233,0.95,+28.94%,0,14
