Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-10,65.8,65.875,64.01,65.03,-0.687,-1.05%,1133,0
2026-06-09,68.745,69.655,64.97,65.717,-3.376,-4.89%,15404,34015
2026-06-08,68.19,69.58,66.81,69.093,-0.523,-0.75%,15354,30941
2026-06-05,74.695,74.905,68.195,69.616,-4.9,-6.58%,19693,26385
2026-06-04,73.72,75.87,73.225,74.516,0.273,+0.37%,6397,21581
2026-06-03,76.04,76.18,73.395,74.243,-1.876,-2.46%,6346,20527
2026-06-02,75.775,77.9,75.33,76.119,0.302,+0.40%,6187,19166
2026-06-01,75.9,77.135,74.63,75.817,-0.627,-0.82%,8477,18153
2026-05-29,76.58,77.525,75.42,76.444,-0.031,-0.04%,5460,16182
2026-05-28,75.78,76.845,72.555,76.475,1.02,+1.35%,6780,15779
2026-05-27,77.955,78.445,74.305,75.455,-1.729,-2.24%,5664,15083
2026-05-26,77.875,79.81,76.33,77.184,0.414,+0.54%,5222,14803
2026-05-22,77.59,77.96,75.875,76.77,-0.536,-0.69%,3410,13981
2026-05-21,76.695,78.035,75.27,77.306,0.563,+0.73%,4175,13612
2026-05-20,74.55,77.525,73.955,76.743,1.04,+1.37%,5197,13137
2026-05-19,78.685,79.95,73.88,75.703,-2.302,-2.95%,4580,12740
2026-05-18,76.56,79.145,74.7,78.005,-0.096,-0.12%,6238,12619
2026-05-15,84.68,84.96,76.66,78.101,-7.839,-9.12%,7574,12646
2026-05-14,89.135,89.795,84.255,85.94,-4.08,-4.53%,5568,12787
2026-05-13,88.14,90.745,86.985,90.02,3.812,+4.42%,6822,12464
2026-05-12,87.55,88.62,84.285,86.208,-0.364,-0.42%,7898,11807
2026-05-11,80.54,87.575,80.325,86.572,5.122,+6.29%,7616,11550
2026-05-08,79.2,82.75,79.2,81.45,0.686,+0.85%,4787,11274
2026-05-07,78.395,83.24,78.035,80.764,2.895,+3.72%,6781,11317
2026-05-06,73.855,78.89,73.6,77.869,3.76,+5.07%,6286,11391
2026-05-05,73.7,75.155,73.365,74.109,0.068,+0.09%,4088,11296
2026-05-04,76.855,77.04,73.14,74.041,-2.924,-3.80%,6590,11166
2026-05-01,74.95,78.06,73.98,76.965,2.413,+3.24%,3569,11218
2026-04-30,72.24,74.905,72.24,74.552,1.963,+2.70%,2782,11030
2026-04-29,74.1,74.945,71.845,72.589,-1.664,-2.24%,6233,11010
2026-04-28,76.57,77.245,72.985,74.253,-1.866,-2.45%,5298,10433
2026-04-27,76.785,77.65,75.735,76.119,-1.367,-1.76%,2011,9704
2026-04-24,76.59,77.6,75,77.486,0.869,+1.13%,1896,9247
2026-04-23,78.85,79.485,75.48,76.617,-2.48,-3.14%,1364,9108
2026-04-22,77.865,79.7,77.865,79.097,1.498,+1.93%,946,9020
2026-04-21,81.4,81.4,76.68,77.599,-3.612,-4.45%,2300,8884
2026-04-20,81.015,81.78,79.97,81.211,-1.827,-2.20%,1248,8903
2026-04-17,79.975,84.355,79,83.038,3.184,+3.99%,1277,8737
2026-04-16,81.315,82.02,79.36,79.854,-0.936,-1.16%,1397,8660
2026-04-15,80.755,82.14,79.58,80.79,0.094,+0.12%,1125,8489
2026-04-14,77.13,80.885,77.13,80.696,3.904,+5.08%,1458,8248
2026-04-13,75.035,76.98,74.17,76.792,-0.846,-1.09%,1782,8082
2026-04-10,76.375,78.18,76.14,77.638,0.034,+0.04%,1479,7895
2026-04-09,75.305,77.9,74.4,77.604,1.072,+1.40%,1756,7699
2026-04-08,75.035,78.5,74.92,76.532,3.461,+4.74%,2262,7698
2026-04-07,73.35,74.295,71.64,73.071,-0.872,-1.18%,1411,7539
2026-04-06,72.96,74.7,72.96,73.943,-0.095,-0.13%,681,7406
2026-04-02,76.65,76.86,70.8,74.038,-3.204,-4.15%,1330,7329
2026-04-01,76.97,77.305,75.24,77.242,1.209,+1.59%,1126,7299
2026-03-31,72.66,76.68,71.46,76.033,4.414,+6.16%,811,7180
2026-03-30,70.32,73.02,68.9,71.619,0.772,+1.09%,549,7187
2026-03-27,69.83,72.66,68.58,70.847,1.909,+2.77%,919,7129
2026-03-26,72.71,73.35,67.74,68.938,-4.775,-6.48%,1063,7037
2026-03-25,72.525,75.72,72.125,73.713,3.132,+4.44%,1184,7020
2026-03-24,70.49,72.3,67.2,70.581,0.227,+0.32%,960,6936
2026-03-23,67.965,71.88,62.22,70.354,-0.355,-0.50%,2496,6871
2026-03-20,75,75.54,68.88,70.709,-1.515,-2.10%,1365,7034
2026-03-19,76.835,77.76,66.72,72.224,-6.488,-8.24%,2024,6996
2026-03-18,80.56,81.325,76.14,78.712,-2.366,-2.92%,1212,7085
2026-03-17,81.875,83.76,79.68,81.078,-0.756,-0.92%,414,7011
2026-03-16,81.325,82.91,78.36,81.834,-0.663,-0.80%,1038,6916
2026-03-13,85.545,86.8,80.765,82.497,-3.838,-4.45%,948,6779
2026-03-12,87.145,88.8,84.48,86.335,-0.426,-0.49%,1149,6725
2026-03-11,89.955,90.91,85.92,86.761,-4.067,-4.48%,1492,6600
2026-03-10,88.65,91.505,88.32,90.828,5.139,+6.00%,2380,6581
2026-03-09,82.635,88.38,80.915,85.689,0.197,+0.23%,1829,6088
2026-03-06,85.785,86.105,82.965,85.492,2.132,+2.56%,1561,5905
2026-03-05,85.02,86.82,82.035,83.36,-0.998,-1.18%,1092,5638
2026-03-04,84,88.08,83.58,84.358,-0.277,-0.33%,1076,5606
