Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-30,0.263,0.291,0.263,0.291,0.039,+15.48%,58,1185
2026-06-29,0.26,0.26,0.252,0.252,-0.066,-20.75%,6,1135
2026-06-26,0.3,0.33,0.3,0.318,0.021,+7.07%,2,1129
2026-06-25,0.289,0.297,0.289,0.297,0.043,+16.93%,5,1128
2026-06-24,0.37,0.37,0.254,0.254,-0.108,-29.83%,7,1124
2026-06-23,0.405,0.405,0.34,0.362,-0.207,-36.38%,1007,1121
2026-06-22,0.716,0.716,0.569,0.569,-0.18,-24.03%,12,477
2026-06-18,0.749,0.749,0.749,0.749,-0.578,-43.56%,46,482
2026-06-17,1.327,1.327,1.327,1.327,0.174,+15.09%,119,513
2026-06-16,1.202,1.202,1.153,1.153,-0.218,-15.90%,80,519
2026-06-15,1.6,1.6,1.371,1.371,0.1,+7.87%,132,443
2026-06-12,1.292,1.292,1.215,1.271,0.412,+47.96%,122,421
2026-06-11,1.1,1.1,0.859,0.859,-0.101,-10.52%,34,307
2026-06-10,0.8,0.96,0.8,0.96,0.039,+4.23%,36,279
2026-06-09,0.921,0.921,0.921,0.921,-0.319,-25.73%,37,266
2026-06-08,1.229,1.24,1.229,1.24,-0.127,-9.29%,19,249
2026-06-05,2,2,1.367,1.367,-0.855,-38.48%,66,231
2026-06-04,2.39,2.39,2.222,2.222,-0.158,-6.64%,1,227
2026-06-03,2.38,2.38,2.38,2.38,-0.535,-18.35%,1,226
2026-06-02,3.058,3.058,2.915,2.915,0.049,+1.71%,1,225
2026-06-01,2.779,2.866,2.779,2.866,-0.339,-10.58%,7,224
2026-05-29,3.1,3.211,3.1,3.205,-0.07,-2.14%,86,224
2026-05-28,3.275,3.275,3.275,3.275,0.23,+7.55%,9,239
2026-05-27,3.045,3.045,3.045,3.045,-0.803,-20.87%,2,230
2026-05-26,4.3,4.3,3.662,3.848,-0.017,-0.44%,15,230
2026-05-22,3.865,3.865,3.865,3.865,-0.267,-6.46%,41,230
2026-05-21,3.8,4.132,3.8,4.132,0.167,+4.21%,5,229
2026-05-20,3.965,3.965,3.965,3.965,-0.001,-0.03%,2,228
2026-05-19,3.966,3.966,3.966,3.966,-0.727,-15.49%,6,227
2026-05-18,5.104,5.104,4.693,4.693,-0.519,-9.96%,11,223
2026-05-15,5.212,5.212,5.212,5.212,-3.288,-38.68%,13,220
2026-05-14,9.75,9.8,8.5,8.5,-2.925,-25.60%,5,210
2026-05-13,11.425,11.425,11.425,11.425,2.568,+28.99%,0,210
2026-05-12,8.857,8.857,8.857,8.857,-0.489,-5.23%,0,210
2026-05-11,9.346,9.346,9.346,9.346,3.057,+48.61%,0,210
2026-05-08,6.289,6.289,6.289,6.289,0.243,+4.02%,0,210
2026-05-07,6.046,6.046,6.046,6.046,1.439,+31.24%,12,210
2026-05-06,4.607,4.607,4.607,4.607,1.16,+33.65%,20,198
2026-05-05,3.447,3.447,3.447,3.447,-0.068,-1.93%,0,191
2026-05-04,3.515,3.515,3.515,3.515,-0.769,-17.95%,0,191
2026-05-01,4.284,4.284,4.284,4.284,1.022,+31.33%,0,191
2026-04-30,3.262,3.262,3.262,3.262,0.397,+13.86%,0,191
2026-04-29,2.865,2.865,2.865,2.865,-0.474,-14.20%,245,191
2026-04-28,3.339,3.339,3.339,3.339,-0.817,-19.66%,0,186
2026-04-27,4.2,4.2,4.156,4.156,-0.687,-14.19%,2,186
2026-04-24,4.843,4.843,4.843,4.843,-0.146,-2.93%,0,186
2026-04-23,4.989,4.989,4.989,4.989,-0.716,-12.55%,0,186
2026-04-22,5.705,5.705,5.705,5.705,0.274,+5.05%,0,186
2026-04-21,5.431,5.431,5.431,5.431,-1.56,-22.31%,0,186
2026-04-20,6.991,6.991,6.991,6.991,-0.809,-10.37%,0,186
2026-04-17,7.8,7.8,7.8,7.8,1.242,+18.94%,0,186
2026-04-16,6.558,6.558,6.558,6.558,-0.489,-6.94%,0,186
2026-04-15,7.047,7.047,7.047,7.047,-0.202,-2.79%,0,186
2026-04-14,7.379,7.379,7.249,7.249,1.707,+30.80%,170,186
2026-04-13,5.542,5.542,5.542,5.542,-0.768,-12.17%,26,91
2026-04-10,6.31,6.31,6.31,6.31,-0.046,-0.72%,0,65
2026-04-09,6.356,6.356,6.356,6.356,-0.311,-4.66%,0,65
2026-04-08,6.667,6.667,6.667,6.667,0.888,+15.37%,0,65
2026-04-07,5.779,5.779,5.779,5.779,-0.106,-1.80%,0,65
2026-04-06,5.885,5.885,5.885,5.885,-0.631,-9.68%,0,65
2026-04-02,6.516,6.516,6.516,6.516,-1.07,-14.10%,0,65
2026-04-01,7.586,7.586,7.586,7.586,0.202,+2.74%,0,65
2026-03-31,7.384,7.384,7.384,7.384,1.03,+16.21%,0,65
2026-03-30,6.354,6.354,6.354,6.354,0.141,+2.27%,0,65
2026-03-27,6.213,6.213,6.213,6.213,0.93,+17.60%,0,65
2026-03-26,5.283,5.283,5.283,5.283,-1.331,-20.12%,0,65
2026-03-25,6.85,6.85,6.614,6.614,0.924,+16.24%,2,65
2026-03-24,5.69,5.69,5.69,5.69,0.11,+1.97%,0,63
2026-03-23,5.58,5.58,5.58,5.58,0.355,+6.79%,0,63
2026-03-20,5.225,5.225,5.225,5.225,-0.625,-10.68%,0,63
2026-03-19,5.85,5.85,5.85,5.85,-2.12,-26.60%,0,63
2026-03-18,7.97,7.97,7.97,7.97,-1.389,-14.84%,0,63
2026-03-17,9.359,9.359,9.359,9.359,-0.757,-7.48%,0,63
2026-03-16,10.442,10.449,10.116,10.116,-0.524,-4.92%,2,63
2026-03-13,10.64,10.64,10.64,10.64,-2.494,-18.99%,0,63
2026-03-12,13.134,13.134,13.134,13.134,-0.317,-2.36%,0,63
2026-03-11,13.451,13.451,13.451,13.451,-3.117,-18.81%,0,63
2026-03-10,16.568,16.568,16.568,16.568,3.397,+25.79%,0,63
2026-03-09,13.171,13.171,13.171,13.171,-0.37,-2.73%,0,63
2026-03-06,13.541,13.541,13.541,13.541,1.19,+9.63%,0,63
