underlying,strike,n,mean_delta,std_delta,t_stat,p_value,ci_lo_95,ci_hi_95,reject_H0
GC,ALL,1121,-0.10265187270556386,0.1120912268615652,-30.66182922073085,2.1189918587162642e-150,-0.10922067947900262,-0.09608306593212511,True
SI,ALL,1196,-0.06439545824211615,0.09125448320549859,-24.404314767834023,4.638790825948554e-107,-0.06957244202788594,-0.05921847445634635,True
GC,4600.0,101,-0.11735106143938616,0.09304418925671275,-12.675306012054488,1.5824239412727663e-22,-0.13571915159380388,-0.09898297128496845,True
GC,4800.0,47,-0.10497806574570674,0.06848908319740457,-10.508147076467669,8.217927412624472e-14,-0.12508721391282962,-0.08486891757858385,True
GC,5000.0,96,-0.09650999865912285,0.09610770307197801,-9.838972079667425,3.6484698339481745e-16,-0.11598322920952546,-0.07703676810872025,True
GC,5200.0,95,-0.12262501660232827,0.11429084616349412,-10.457537576035902,1.9662438713467294e-17,-0.14590725137824168,-0.09934278182641487,True
GC,5400.0,97,-0.11715679075249305,0.11174060683573663,-10.326242225731853,2.966800767336118e-17,-0.139677508991362,-0.0946360725136241,True
GC,5600.0,97,-0.1301764558906464,0.14331457497720046,-8.945980570452958,2.7319000624592878e-14,-0.15906073756748942,-0.10129217421380335,True
GC,5800.0,94,-0.11413709792706052,0.1311949774399084,-8.434775803187984,4.155289463849472e-13,-0.1410084293573587,-0.08726576649676236,True
GC,6000.0,109,-0.09337260016394021,0.11800797322660048,-8.26078559432242,3.975355039763766e-13,-0.1157773327404232,-0.07096786758745721,True
GC,6200.0,96,-0.08751276452712399,0.11394441347367053,-7.525129579830535,2.9750908128706746e-11,-0.11060004850727914,-0.06442548054696884,True
GC,6500.0,97,-0.10139341218018523,0.12313388060545434,-8.109947430320092,1.6619307856612597e-12,-0.12621038346127453,-0.07657644089909593,True
GC,7000.0,96,-0.070981500722636,0.08369227238586237,-8.30989303986561,6.665472601823709e-13,-0.08793913120763899,-0.05402387023763299,True
GC,8000.0,96,-0.07732865173084655,0.09714546072245783,-7.79926258331791,7.954502091982641e-12,-0.09701215152437218,-0.057645151937320914,True
SI,60.0,103,-0.07615368441319217,0.0692931109531842,-11.153713186782896,2.3047834915377104e-19,-0.0896963019636107,-0.06261106686277365,True
SI,65.0,98,-0.06019259724274282,0.11974756273341623,-4.976103880732724,2.8099815290143856e-06,-0.08420046489129399,-0.036184729594191646,True
SI,70.0,100,-0.07657761503251388,0.09706091282797663,-7.88964504879881,4.133257012061872e-12,-0.09583660588948616,-0.05731862417554161,True
SI,75.0,113,-0.08621203174990968,0.09087838026664116,-10.084317806113566,2.0960889643502685e-17,-0.10315101494111124,-0.06927304855870813,True
SI,80.0,105,-0.051585745793440295,0.07895866253505954,-6.694599178854892,1.1262600853931383e-09,-0.06686619306250889,-0.0363052985243717,True
SI,85.0,95,-0.05422684590540405,0.08019922630831589,-6.590311893729766,2.5229278773099335e-09,-0.07056426292903646,-0.037889428881771645,True
SI,90.0,96,-0.06331961930943929,0.08656043144794907,-7.167282113591271,1.6379039107242265e-10,-0.08085839283382397,-0.045780845785054605,True
SI,95.0,79,-0.05607083136757095,0.08111895542453643,-6.1436744066448385,3.1796265464473995e-08,-0.07424048732349674,-0.03790117541164516,True
SI,100.0,104,-0.07608543168442315,0.10288796881438651,-7.541427930390963,1.8983776299188462e-11,-0.09609457451415565,-0.056076288854690653,True
SI,110.0,104,-0.06943902944815965,0.08592768290889022,-8.241138459104832,5.775189956971268e-13,-0.08614981983662282,-0.05272823905969647,True
SI,120.0,103,-0.059309562159759605,0.09619304750573726,-6.257482538918377,9.304092514525194e-09,-0.07810949241919872,-0.04050963190032049,True
SI,140.0,96,-0.03702897167624361,0.08774940271345603,-4.134596179666474,7.669114508252103e-05,-0.05480865316982282,-0.019249290182664403,True
